"AGE","AGE_less_than_35","AGE_35_44","AGE_45_54","AGE_55_64","AGE_65_74","AGE_75_plus","HHSEX","RACE_white_non_hispanic","RACE_black_african_american","RACE_hispanic","RACE_other","EDCL_no_HS","EDCL_HS_GED","EDCL_some_college","EDCL_college_degree","LF","ASSET","FIN","CHECKING","SAVING","CALL","STOCKS","HSTOCKS","THRIFT","IRAKH","DEBT","SAVED","INCOME","NWCAT","NETWORTH","YESFINRISK","NOFINRISK","SAVRES1","SAVRES2","SAVRES3","SAVRES4","SAVRES5","SAVRES6","SAVRES7","SAVRES8","KNOWL_not_knowledgeable","KNOWL_no_knowledge","KNOWL_somewhat_knowledgeable","KNOWL_very_knowledgeable","FINLIT_0","FINLIT_1","FINLIT_2","FINLIT_3","OCCAT2_managerial_professional","OCCAT2_technical_sales_services","OCCAT2_other_manual_labor","OCCAT2_not_working"
19,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,15600,1600,0,0,0,0,0,0,0,10000,1,67016.533066,1,5600,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
19,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,15500,1500,0,0,0,0,0,0,0,11000,1,59450.150301,1,4500,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
74,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,7343000,5728000,75000,45000,64000,4200000,1,0,795000,111000,0,283198.8978,5,7232000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
74,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,6635000,5022000,75000,32000,57000,1660000,1,0,1005000,112000,0,264066.75852,5,6523000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
74,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,6527000,4913000,75000,30000,57000,2560000,1,0,1007000,156000,0,272714.05311,5,6371000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
74,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,7623000,6010000,75000,45000,57000,1640000,1,0,963000,149000,0,276821.51804,5,7474000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
74,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,6897170,5284170,75000,41000,60000,1810000,1,0,941000,106000,0,269687.5,5,6791170,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
52,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,70669800,13436800,117000,0,0,6340000,1,668000,1061500,0,1,13435733.968,5,70669800,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
52,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,73429800,13614800,118000,0,0,6630000,1,661000,1081500,0,1,14019426.353,5,73429800,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
52,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,76810800,14356800,118000,0,0,7340000,1,672000,981500,0,1,13349261.022,5,76810800,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
52,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,73633800,14347800,121000,0,0,6890000,1,642000,981500,0,1,14462600.2,5,73633800,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
52,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,74328800,14570800,115000,0,0,7620000,1,631000,951500,0,1,13468161.323,5,74328800,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
60,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1500,1500,1500,0,0,0,0,0,0,0,1,39993.737475,1,1500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
60,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1500,1500,1500,0,0,0,0,0,0,0,1,39993.737475,1,1500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
60,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1500,1500,1500,0,0,0,0,0,0,0,1,38912.825651,1,1500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
60,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1500,1500,1500,0,0,0,0,0,0,0,1,39993.737475,1,1500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
60,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1500,1500,1500,0,0,0,0,0,0,0,1,39993.737475,1,1500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
43,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,7331100,295000,95000,0,0,80000,1,0,0,925000,1,670165.33066,5,6406100,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
43,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,7331100,295000,95000,0,0,80000,1,0,0,926000,1,670165.33066,5,6405100,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
43,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,7330200,295000,95000,0,0,80000,1,0,0,925000,1,670165.33066,5,6405200,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
43,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,12191200,295000,95000,0,0,80000,1,0,0,925000,1,670165.33066,5,11266200,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
43,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,23592100,295000,95000,0,0,80000,1,0,0,926000,1,670165.33066,5,22666100,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
67,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,394750,27950,13850,14100,0,0,0,0,0,183400,0,43236.472946,3,211350,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
67,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,397750,27950,13850,14100,0,0,0,0,0,183400,0,43236.472946,3,214350,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
67,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,398650,27950,13850,14100,0,0,0,0,0,183400,0,43236.472946,3,215250,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
67,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,396350,27950,13850,14100,0,0,0,0,0,183400,0,43236.472946,3,212950,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
67,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,396550,27950,13850,14100,0,0,0,0,0,183400,0,43236.472946,3,213150,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
46,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,506500,20500,10000,10500,0,0,0,0,0,182000,0,211858.71743,3,324500,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,505500,20500,10000,10500,0,0,0,0,0,182000,0,211858.71743,3,323500,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,506500,20500,10000,10500,0,0,0,0,0,182000,0,211858.71743,3,324500,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,506500,20500,10000,10500,0,0,0,0,0,182000,0,211858.71743,3,324500,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,506500,20500,10000,10500,0,0,0,0,0,182000,0,211858.71743,3,324500,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
51,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,11950,1950,1500,0,0,0,0,0,0,10630,1,42155.561122,1,1320,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
51,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,12950,2950,2500,0,0,0,0,0,0,3530,1,35670.09018,1,9420,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
51,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,11550,1550,1100,0,0,0,0,0,0,9430,1,45398.296593,1,2120,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
51,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,14750,4750,1600,0,0,0,0,2700,0,9530,1,51883.767535,1,5220,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
51,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,12650,2650,2200,0,0,0,0,0,0,10630,1,43236.472946,1,2020,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
77,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,217000,204000,13000,0,0,0,0,0,41000,0,0,18915.956914,3,217000,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
77,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,153240,140240,240,0,0,0,0,0,34000,0,0,18915.956914,2,153240,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
77,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,106000,93000,11000,0,0,0,0,0,37000,0,0,21942.51002,2,106000,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
77,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,95000,82000,1000,0,0,0,0,0,10000,0,0,23239.604208,2,95000,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
77,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,66200,53200,2200,0,0,0,0,0,40000,0,0,32643.537074,2,66200,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
57,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,545510,510,500,0,0,0,0,0,0,123320,1,58369.238477,3,422190,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
57,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,534520,520,500,0,0,0,0,0,0,170320,1,59450.150301,3,364200,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
